Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-11-01,Nov 2020,Sul,Santa Catarina,Outros,P.7,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Centro-oeste,Distrito Federal,Outros,B.1.1.7 (Alfa),Outras,VOC/VOI,2
2020-12-01,Dez 2020,Centro-oeste,Goiás,FIOCRUZ,P.2,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,B.1.1.28,Outras,Não VOC/VOI,13
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,B.1.1.33,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,B.1.1.332,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,N.9,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,1
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,P.2,Outras,Não VOC/VOI,47
2020-12-01,Dez 2020,Centro-oeste,Goiás,Outros,P.7,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso,Outros,P.2,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso,Outros,P.7,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,Outras,Não VOC/VOI,8
