,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
238,2020-09,Set 2020,Nordeste,B.1.1.398,Outras,1
239,2020-09,Set 2020,Nordeste,B.1.1.487,Outras,1
240,2020-09,Set 2020,Nordeste,N.1,Outras,2
241,2020-09,Set 2020,Norte,B.1.1,B.1.1,2
242,2020-09,Set 2020,Norte,B.1.1.28,B.1.1.28,13
243,2020-09,Set 2020,Norte,B.1.1.33,B.1.1.33,8
244,2020-09,Set 2020,Norte,B.1.1.378,Outras,3
245,2020-09,Set 2020,Norte,B.1.195,Outras,1
246,2020-09,Set 2020,Sudeste,B.1,Outras,1
247,2020-09,Set 2020,Sudeste,B.1.1,B.1.1,2
248,2020-09,Set 2020,Sudeste,B.1.1.277,Outras,2
249,2020-09,Set 2020,Sudeste,B.1.1.28,B.1.1.28,27
250,2020-09,Set 2020,Sudeste,B.1.1.33,B.1.1.33,59
251,2020-09,Set 2020,Sudeste,P.2,P.2,1
252,2020-09,Set 2020,Sudeste,P.7,Outras,1
253,2020-09,Set 2020,Sul,B.1,Outras,4
254,2020-09,Set 2020,Sul,B.1.1,B.1.1,4
255,2020-09,Set 2020,Sul,B.1.1.161,Outras,1
256,2020-09,Set 2020,Sul,B.1.1.28,B.1.1.28,26
257,2020-09,Set 2020,Sul,B.1.1.33,B.1.1.33,40
258,2020-09,Set 2020,Sul,P.1 (Gama),P.1 (Gama),1
259,2020-09,Set 2020,Sul,P.2,P.2,1
260,2020-09,Set 2020,Sul,P.7,Outras,2
261,2020-10,Out 2020,Centro-oeste,B.1.1.28,B.1.1.28,12
262,2020-10,Out 2020,Centro-oeste,B.1.1.33,B.1.1.33,2
263,2020-10,Out 2020,Centro-oeste,P.2,P.2,5
264,2020-10,Out 2020,Nordeste,B.1.1,B.1.1,24
265,2020-10,Out 2020,Nordeste,B.1.1.220,Outras,1
266,2020-10,Out 2020,Nordeste,B.1.1.28,B.1.1.28,27
267,2020-10,Out 2020,Nordeste,B.1.1.33,B.1.1.33,30
268,2020-10,Out 2020,Nordeste,B.1.173,Outras,1
269,2020-10,Out 2020,Nordeste,B.1.212,Outras,1
270,2020-10,Out 2020,Nordeste,B.1.258,Outras,1
271,2020-10,Out 2020,Nordeste,N.9,Outras,2
272,2020-10,Out 2020,Nordeste,P.2,P.2,12
273,2020-10,Out 2020,Norte,B.1.1,B.1.1,4
274,2020-10,Out 2020,Norte,B.1.1.28,B.1.1.28,16
275,2020-10,Out 2020,Norte,B.1.1.33,B.1.1.33,6
276,2020-10,Out 2020,Norte,B.1.1.378,Outras,4
277,2020-10,Out 2020,Norte,P.1 (Gama),P.1 (Gama),3
278,2020-10,Out 2020,Norte,P.2,P.2,9
279,2020-10,Out 2020,Sudeste,B.1,Outras,1
280,2020-10,Out 2020,Sudeste,B.1.1,B.1.1,3
281,2020-10,Out 2020,Sudeste,B.1.1.28,B.1.1.28,47
282,2020-10,Out 2020,Sudeste,B.1.1.33,B.1.1.33,61
283,2020-10,Out 2020,Sudeste,N.9,Outras,2
284,2020-10,Out 2020,Sudeste,P.2,P.2,34
285,2020-10,Out 2020,Sudeste,P.7,Outras,1
286,2020-10,Out 2020,Sul,B.1.1,B.1.1,3
287,2020-10,Out 2020,Sul,B.1.1.161,Outras,3
288,2020-10,Out 2020,Sul,B.1.1.277,Outras,1
289,2020-10,Out 2020,Sul,B.1.1.28,B.1.1.28,41
290,2020-10,Out 2020,Sul,B.1.1.33,B.1.1.33,33
291,2020-10,Out 2020,Sul,B.1.1.332,Outras,1
292,2020-10,Out 2020,Sul,B.1.1.333,Outras,1
293,2020-10,Out 2020,Sul,N.1,Outras,1
294,2020-10,Out 2020,Sul,P.2,P.2,18
295,2020-10,Out 2020,Sul,P.7,Outras,5
296,2020-11,Nov 2020,Centro-oeste,B.1.1.28,B.1.1.28,1
297,2020-11,Nov 2020,Centro-oeste,B.1.1.378,Outras,1
298,2020-11,Nov 2020,Centro-oeste,B.1.240,Outras,1
299,2020-11,Nov 2020,Centro-oeste,P.2,P.2,3
300,2020-11,Nov 2020,Nordeste,B.1.1,B.1.1,16
301,2020-11,Nov 2020,Nordeste,B.1.1.28,B.1.1.28,12
302,2020-11,Nov 2020,Nordeste,B.1.1.33,B.1.1.33,21
303,2020-11,Nov 2020,Nordeste,B.1.1.372,Outras,1
304,2020-11,Nov 2020,Nordeste,B.1.1.462,Outras,1
305,2020-11,Nov 2020,Nordeste,B.1.160,Outras,1
306,2020-11,Nov 2020,Nordeste,B.1.524,Outras,1
307,2020-11,Nov 2020,Nordeste,N.9,Outras,13
308,2020-11,Nov 2020,Nordeste,P.1 (Gama),P.1 (Gama),1
309,2020-11,Nov 2020,Nordeste,P.2,P.2,14
310,2020-11,Nov 2020,Nordeste,P.7,Outras,4
311,2020-11,Nov 2020,Norte,B.1,Outras,1
312,2020-11,Nov 2020,Norte,B.1.1,B.1.1,6
313,2020-11,Nov 2020,Norte,B.1.1.28,B.1.1.28,24
314,2020-11,Nov 2020,Norte,B.1.1.33,B.1.1.33,3
315,2020-11,Nov 2020,Norte,B.1.1.378,Outras,17
316,2020-11,Nov 2020,Norte,B.1.1.398,Outras,2
317,2020-11,Nov 2020,Norte,N.9,Outras,1
318,2020-11,Nov 2020,Norte,P.2,P.2,24
319,2020-11,Nov 2020,Sudeste,B.1,Outras,2
320,2020-11,Nov 2020,Sudeste,B.1.1,B.1.1,7
321,2020-11,Nov 2020,Sudeste,B.1.1.28,B.1.1.28,62
322,2020-11,Nov 2020,Sudeste,B.1.1.33,B.1.1.33,43
