,Date,Período,Estado,Linhagem,Frequência
253,2020-07,Jul 2020,Paraíba,B.1.1,1
254,2020-07,Jul 2020,Paraíba,B.1.1.33,1
255,2020-07,Jul 2020,Pará,B.1.1.28,3
256,2020-07,Jul 2020,Pará,B.1.1.33,3
257,2020-07,Jul 2020,Pará,Outras,1
258,2020-07,Jul 2020,Pernambuco,B.1.1,25
259,2020-07,Jul 2020,Pernambuco,B.1.1.28,6
260,2020-07,Jul 2020,Pernambuco,B.1.1.33,8
261,2020-07,Jul 2020,Pernambuco,Outras,3
262,2020-07,Jul 2020,Rio Grande do Norte,B.1.1,7
263,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.28,3
264,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.33,1
265,2020-07,Jul 2020,Rio Grande do Sul,B.1,1
266,2020-07,Jul 2020,Rio Grande do Sul,B.1.1,3
267,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.28,19
268,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.33,44
269,2020-07,Jul 2020,Rio Grande do Sul,Outras,12
270,2020-07,Jul 2020,Rio de Janeiro,B.1.1,5
271,2020-07,Jul 2020,Rio de Janeiro,B.1.1.28,3
272,2020-07,Jul 2020,Rio de Janeiro,B.1.1.33,70
273,2020-07,Jul 2020,Rio de Janeiro,Outras,2
274,2020-07,Jul 2020,Santa Catarina,B.1.1.28,1
275,2020-07,Jul 2020,Santa Catarina,B.1.1.33,1
276,2020-07,Jul 2020,Sergipe,B.1,1
277,2020-07,Jul 2020,Sergipe,B.1.1,1
278,2020-07,Jul 2020,São Paulo,B.1,1
279,2020-07,Jul 2020,São Paulo,B.1.1,5
280,2020-07,Jul 2020,São Paulo,B.1.1.28,55
281,2020-07,Jul 2020,São Paulo,B.1.1.33,12
282,2020-07,Jul 2020,São Paulo,Outras,4
283,2020-08,Ago 2020,Acre,B.1.1,2
284,2020-08,Ago 2020,Acre,B.1.1.33,12
285,2020-08,Ago 2020,Amazonas,B.1.1.28,4
286,2020-08,Ago 2020,Amazonas,Outras,2
287,2020-08,Ago 2020,Bahia,B.1,1
288,2020-08,Ago 2020,Bahia,B.1.1,2
289,2020-08,Ago 2020,Bahia,B.1.1.28,2
290,2020-08,Ago 2020,Bahia,B.1.1.33,6
291,2020-08,Ago 2020,Ceará,B.1.1.33,1
292,2020-08,Ago 2020,Goiás,B.1.1.28,1
293,2020-08,Ago 2020,Goiás,B.1.1.33,10
294,2020-08,Ago 2020,Mato Grosso,B.1.1.33,2
295,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.28,2
296,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.33,5
297,2020-08,Ago 2020,Minas Gerais,B.1.1.28,1
298,2020-08,Ago 2020,Minas Gerais,B.1.1.33,3
299,2020-08,Ago 2020,Paraná,B.1,1
300,2020-08,Ago 2020,Paraná,B.1.1,3
301,2020-08,Ago 2020,Paraná,B.1.1.28,9
302,2020-08,Ago 2020,Paraná,B.1.1.33,7
303,2020-08,Ago 2020,Paraíba,B.1.1,5
304,2020-08,Ago 2020,Paraíba,B.1.1.28,1
305,2020-08,Ago 2020,Paraíba,B.1.1.33,2
306,2020-08,Ago 2020,Pernambuco,B.1.1,11
307,2020-08,Ago 2020,Pernambuco,B.1.1.28,12
308,2020-08,Ago 2020,Pernambuco,B.1.1.33,3
309,2020-08,Ago 2020,Pernambuco,Outras,10
310,2020-08,Ago 2020,Rio Grande do Norte,B.1.1,5
311,2020-08,Ago 2020,Rio Grande do Norte,B.1.1.28,2
312,2020-08,Ago 2020,Rio Grande do Sul,B.1,2
313,2020-08,Ago 2020,Rio Grande do Sul,B.1.1,6
314,2020-08,Ago 2020,Rio Grande do Sul,B.1.1.28,38
315,2020-08,Ago 2020,Rio Grande do Sul,B.1.1.33,60
316,2020-08,Ago 2020,Rio Grande do Sul,Outras,6
317,2020-08,Ago 2020,Rio de Janeiro,B.1.1,4
318,2020-08,Ago 2020,Rio de Janeiro,B.1.1.28,11
319,2020-08,Ago 2020,Rio de Janeiro,B.1.1.33,32
320,2020-08,Ago 2020,Rio de Janeiro,Outras,2
321,2020-08,Ago 2020,Santa Catarina,B.1.1.28,1
322,2020-08,Ago 2020,Sergipe,B.1.1.28,3
323,2020-08,Ago 2020,São Paulo,B.1.1,2
324,2020-08,Ago 2020,São Paulo,B.1.1.28,29
325,2020-08,Ago 2020,São Paulo,B.1.1.33,8
326,2020-08,Ago 2020,São Paulo,Outras,1
327,2020-09,Set 2020,Amazonas,B.1.1,2
328,2020-09,Set 2020,Amazonas,B.1.1.28,9
329,2020-09,Set 2020,Amazonas,B.1.1.33,7
330,2020-09,Set 2020,Amazonas,Outras,4
331,2020-09,Set 2020,Bahia,B.1.1.28,6
332,2020-09,Set 2020,Bahia,B.1.1.33,9
333,2020-09,Set 2020,Bahia,Outras,3
334,2020-09,Set 2020,Ceará,B.1.1.33,1
335,2020-09,Set 2020,Distrito Federal,B.1.1,1
336,2020-09,Set 2020,Distrito Federal,B.1.1.28,2
337,2020-09,Set 2020,Distrito Federal,B.1.1.33,1
338,2020-09,Set 2020,Distrito Federal,P.2,2
339,2020-09,Set 2020,Espírito Santo,B.1.1.33,14
340,2020-09,Set 2020,Goiás,B.1.1,1
341,2020-09,Set 2020,Goiás,B.1.1.28,1
342,2020-09,Set 2020,Goiás,B.1.1.33,4
343,2020-09,Set 2020,Mato Grosso do Sul,B.1.1.28,2
344,2020-09,Set 2020,Mato Grosso do Sul,B.1.1.33,6
345,2020-09,Set 2020,Minas Gerais,B.1.1.28,4
346,2020-09,Set 2020,Minas Gerais,B.1.1.33,3
347,2020-09,Set 2020,Paraná,B.1.1,1
348,2020-09,Set 2020,Paraná,B.1.1.28,3
349,2020-09,Set 2020,Paraná,B.1.1.33,5
350,2020-09,Set 2020,Paraná,P.2,1
351,2020-09,Set 2020,Paraíba,B.1.1,9
352,2020-09,Set 2020,Paraíba,B.1.1.33,2
353,2020-09,Set 2020,Pernambuco,B.1.1,13
354,2020-09,Set 2020,Pernambuco,B.1.1.28,9
355,2020-09,Set 2020,Pernambuco,B.1.1.33,2
356,2020-09,Set 2020,Pernambuco,Outras,5
357,2020-09,Set 2020,Rio Grande do Norte,B.1,1
358,2020-09,Set 2020,Rio Grande do Norte,B.1.1,4
359,2020-09,Set 2020,Rio Grande do Norte,B.1.1.33,4
360,2020-09,Set 2020,Rio Grande do Norte,Outras,1
361,2020-09,Set 2020,Rio Grande do Sul,B.1,4
