,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
511,2021-03,Mar 2021,Sudeste,Minas Gerais,Não VOC/VOI,Não VOC/VOI,5
512,2021-03,Mar 2021,Sudeste,Minas Gerais,P.1 (Gama),P.1 (Gama),68
513,2021-03,Mar 2021,Sudeste,Minas Gerais,P.1.2 (Gama),P.1.2 (Gama),1
514,2021-03,Mar 2021,Sudeste,Minas Gerais,P.2,P.2,12
515,2021-03,Mar 2021,Sudeste,Rio de Janeiro,B.1.1.7 (Alfa),B.1.1.7 (Alfa),11
516,2021-03,Mar 2021,Sudeste,Rio de Janeiro,Não VOC/VOI,Não VOC/VOI,34
517,2021-03,Mar 2021,Sudeste,Rio de Janeiro,P.1 (Gama),P.1 (Gama),389
518,2021-03,Mar 2021,Sudeste,Rio de Janeiro,P.1.1 (Gama),Não VOC/VOI,1
519,2021-03,Mar 2021,Sudeste,Rio de Janeiro,P.1.2 (Gama),P.1.2 (Gama),14
520,2021-03,Mar 2021,Sudeste,Rio de Janeiro,P.1.3,P.1.3,1
521,2021-03,Mar 2021,Sudeste,Rio de Janeiro,P.2,P.2,11
522,2021-03,Mar 2021,Sudeste,São Paulo,B.1.1.7 (Alfa),B.1.1.7 (Alfa),106
523,2021-03,Mar 2021,Sudeste,São Paulo,B.1.351 (Beta),Não VOC/VOI,3
524,2021-03,Mar 2021,Sudeste,São Paulo,Não VOC/VOI,Não VOC/VOI,154
525,2021-03,Mar 2021,Sudeste,São Paulo,P.1 (Gama),P.1 (Gama),1520
526,2021-03,Mar 2021,Sudeste,São Paulo,P.1.1 (Gama),Não VOC/VOI,10
527,2021-03,Mar 2021,Sudeste,São Paulo,P.1.2 (Gama),P.1.2 (Gama),14
528,2021-03,Mar 2021,Sudeste,São Paulo,P.1.7,P.1.7,2
529,2021-03,Mar 2021,Sudeste,São Paulo,P.2,P.2,109
530,2021-03,Mar 2021,Sul,Paraná,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
531,2021-03,Mar 2021,Sul,Paraná,Não VOC/VOI,Não VOC/VOI,40
532,2021-03,Mar 2021,Sul,Paraná,P.1 (Gama),P.1 (Gama),72
533,2021-03,Mar 2021,Sul,Paraná,P.1.2 (Gama),P.1.2 (Gama),3
534,2021-03,Mar 2021,Sul,Paraná,P.2,P.2,16
535,2021-03,Mar 2021,Sul,Rio Grande do Sul,Não VOC/VOI,Não VOC/VOI,13
536,2021-03,Mar 2021,Sul,Rio Grande do Sul,P.1 (Gama),P.1 (Gama),103
537,2021-03,Mar 2021,Sul,Rio Grande do Sul,P.1.1 (Gama),Não VOC/VOI,1
538,2021-03,Mar 2021,Sul,Rio Grande do Sul,P.1.2 (Gama),P.1.2 (Gama),18
539,2021-03,Mar 2021,Sul,Rio Grande do Sul,P.2,P.2,6
540,2021-03,Mar 2021,Sul,Santa Catarina,Não VOC/VOI,Não VOC/VOI,4
541,2021-03,Mar 2021,Sul,Santa Catarina,P.1 (Gama),P.1 (Gama),77
542,2021-03,Mar 2021,Sul,Santa Catarina,P.1-like I,Não VOC/VOI,1
543,2021-03,Mar 2021,Sul,Santa Catarina,P.1.1 (Gama),Não VOC/VOI,1
544,2021-03,Mar 2021,Sul,Santa Catarina,P.1.2 (Gama),P.1.2 (Gama),8
545,2021-03,Mar 2021,Sul,Santa Catarina,P.2,P.2,4
546,2021-04,Abr 2021,Centro-oeste,Goiás,B.1.1.7 (Alfa),B.1.1.7 (Alfa),2
547,2021-04,Abr 2021,Centro-oeste,Goiás,B.1.617.2 (Delta),B.1.617.2 (Delta),3
548,2021-04,Abr 2021,Centro-oeste,Goiás,Não VOC/VOI,Não VOC/VOI,2
549,2021-04,Abr 2021,Centro-oeste,Goiás,P.1 (Gama),P.1 (Gama),166
