,Data,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
877,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,10
878,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,21
879,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,4
880,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,7
881,2020-12-01,Dez 2020,Norte,Amazonas,Outros,N.9,Outras,Não VOC/VOI,3
882,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,74
883,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1.15 (Gama),P.1.* (Gama),VOC/VOI,1
884,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,36
885,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
886,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,1
887,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.33,Outras,Não VOC/VOI,1
888,2020-12-01,Dez 2020,Norte,Pará,Outros,N.9,Outras,Não VOC/VOI,2
889,2020-12-01,Dez 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,14
890,2020-12-01,Dez 2020,Norte,Tocantins,Outros,P.2,Outras,Não VOC/VOI,2
891,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,6
892,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
893,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,9
894,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.7,Outras,Não VOC/VOI,1
895,2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,5
896,2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,6
897,2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
898,2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.372,Outras,Não VOC/VOI,1
