,Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
207,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1,3
208,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,1
209,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,24
210,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,3
211,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1,5
212,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,4
213,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,26
214,2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,Outras,2
215,2020-05-01,Mai 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,2
216,2020-05-01,Mai 2020,Sul,Santa Catarina,FIOCRUZ,Outras,1
217,2020-05-01,Mai 2020,Sul,Santa Catarina,Outros,B.1.1.28,3
218,2020-06-01,Jun 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,9
219,2020-06-01,Jun 2020,Centro-oeste,Goiás,Outros,B.1.1.28,1
220,2020-06-01,Jun 2020,Centro-oeste,Goiás,Outros,B.1.1.33,2
221,2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,FIOCRUZ,B.1.1.28,1
222,2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,1
223,2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,5
224,2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,3
225,2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,1
226,2020-06-01,Jun 2020,Nordeste,Bahia,Outros,B.1.1.28,6
227,2020-06-01,Jun 2020,Nordeste,Bahia,Outros,B.1.1.33,6
228,2020-06-01,Jun 2020,Nordeste,Bahia,Outros,Outras,1
229,2020-06-01,Jun 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,2
230,2020-06-01,Jun 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,5
231,2020-06-01,Jun 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,1
232,2020-06-01,Jun 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,1
233,2020-06-01,Jun 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,3
234,2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1,35
235,2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1.28,3
236,2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1.33,5
237,2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,Outras,4
238,2020-06-01,Jun 2020,Norte,Acre,Outros,B.1.1.33,2
239,2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,10
240,2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,1
241,2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,Outras,5
242,2020-06-01,Jun 2020,Norte,Pará,Outros,B.1.1.28,3
243,2020-06-01,Jun 2020,Norte,Pará,Outros,B.1.1.33,4
244,2020-06-01,Jun 2020,Norte,Rondônia,Outros,B.1.1.33,1
245,2020-06-01,Jun 2020,Norte,Roraima,Outros,B.1.1.33,2
246,2020-06-01,Jun 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,6
247,2020-06-01,Jun 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,8
248,2020-06-01,Jun 2020,Sudeste,Minas Gerais,Outros,Outras,1
249,2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,16
250,2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,2
251,2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,3
252,2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,22
253,2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1,1
254,2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1.28,48
255,2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1.33,20
256,2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1,61
257,2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,24
258,2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,6
259,2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,Outras,2
260,2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1,13
261,2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.28,4
262,2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.33,2
263,2020-06-01,Jun 2020,Sul,Paraná,Outros,Outras,1
264,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,1
265,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
266,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,3
267,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1,4
268,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,20
269,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,43
270,2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,Outras,13
271,2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.28,1
272,2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,1
273,2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1,2
274,2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.28,11
275,2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.33,10
276,2020-07-01,Jul 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,2
277,2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.28,1
278,2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.33,2
279,2020-07-01,Jul 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,1
280,2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,6
281,2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,6
282,2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,3
283,2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,1
284,2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,2
285,2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,4
286,2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,1
287,2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.28,7
288,2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.33,4
289,2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,1
290,2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,1
291,2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,8
292,2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,4
293,2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,4
294,2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1,20
295,2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.28,2
296,2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.33,4
297,2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1,5
298,2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.28,3
299,2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.33,2
300,2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,Outras,2
301,2020-07-01,Jul 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,1
302,2020-07-01,Jul 2020,Nordeste,Sergipe,FIOCRUZ,Outras,1
303,2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1,1
304,2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,6
305,2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,5
306,2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,Outras,4
307,2020-07-01,Jul 2020,Norte,Pará,Outros,B.1.1.28,3
308,2020-07-01,Jul 2020,Norte,Pará,Outros,B.1.1.33,3
309,2020-07-01,Jul 2020,Norte,Pará,Outros,Outras,1
310,2020-07-01,Jul 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,1
311,2020-07-01,Jul 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,11
312,2020-07-01,Jul 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,9
313,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,3
314,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,2
315,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,36
316,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,3
317,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,2
318,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,39
319,2020-07-01,Jul 2020,Sudeste,Rio de Janeiro,Outros,Outras,10
