,Date,Período,Estado,Linhagem,Linhagens relevantes,Frequência
268,2020-06,Jun 2020,Paraíba,B.1.1.33,B.1.1.33,1
269,2020-06,Jun 2020,Pará,B.1.1.28,B.1.1.28,4
270,2020-06,Jun 2020,Pará,B.1.1.33,B.1.1.33,4
271,2020-06,Jun 2020,Pernambuco,B.1,Outras,1
272,2020-06,Jun 2020,Pernambuco,B.1.1,B.1.1,28
273,2020-06,Jun 2020,Pernambuco,B.1.1.192,Outras,1
274,2020-06,Jun 2020,Pernambuco,B.1.1.236,Outras,9
275,2020-06,Jun 2020,Pernambuco,B.1.1.28,B.1.1.28,5
276,2020-06,Jun 2020,Pernambuco,B.1.1.33,B.1.1.33,5
277,2020-06,Jun 2020,Pernambuco,B.1.212,Outras,1
278,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.161,Outras,5
279,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.277,Outras,1
280,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.28,B.1.1.28,21
281,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.33,B.1.1.33,47
282,2020-06,Jun 2020,Rio Grande do Sul,B.1.195,Outras,2
283,2020-06,Jun 2020,Rio Grande do Sul,B.1.212,Outras,1
284,2020-06,Jun 2020,Rio Grande do Sul,B.1.91,Outras,11
285,2020-06,Jun 2020,Rio de Janeiro,B.1.1,B.1.1,1
286,2020-06,Jun 2020,Rio de Janeiro,B.1.1.28,B.1.1.28,3
287,2020-06,Jun 2020,Rio de Janeiro,B.1.1.33,B.1.1.33,37
288,2020-06,Jun 2020,Rondônia,B.1.1.33,B.1.1.33,1
289,2020-06,Jun 2020,Roraima,B.1.1.33,B.1.1.33,2
290,2020-06,Jun 2020,Santa Catarina,B.1.1.28,B.1.1.28,1
291,2020-06,Jun 2020,Santa Catarina,B.1.1.33,B.1.1.33,1
292,2020-06,Jun 2020,São Paulo,B.1.1,B.1.1,1
293,2020-06,Jun 2020,São Paulo,B.1.1.28,B.1.1.28,47
294,2020-06,Jun 2020,São Paulo,B.1.1.33,B.1.1.33,20
295,2020-07,Jul 2020,Amazonas,B.1.1,B.1.1,1
296,2020-07,Jul 2020,Amazonas,B.1.1.28,B.1.1.28,6
297,2020-07,Jul 2020,Amazonas,B.1.1.33,B.1.1.33,5
298,2020-07,Jul 2020,Amazonas,B.1.195,Outras,4
299,2020-07,Jul 2020,Bahia,B.1.1,B.1.1,2
300,2020-07,Jul 2020,Bahia,B.1.1.28,B.1.1.28,9
301,2020-07,Jul 2020,Bahia,B.1.1.33,B.1.1.33,7
302,2020-07,Jul 2020,Goiás,B.1.1.28,B.1.1.28,1
303,2020-07,Jul 2020,Goiás,B.1.1.33,B.1.1.33,4
304,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,4
305,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,3
