,Date,Período,Estado,Linhagem,Frequência
192,2020-06,Jun 2020,Pará,B.1.1.28,3
193,2020-06,Jun 2020,Pará,B.1.1.33,4
194,2020-06,Jun 2020,Pernambuco,B.1.1,28
195,2020-06,Jun 2020,Pernambuco,B.1.1.28,5
196,2020-06,Jun 2020,Pernambuco,B.1.1.33,5
197,2020-06,Jun 2020,Pernambuco,Outras,12
198,2020-06,Jun 2020,Rio Grande do Sul,B.1.1,1
199,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.28,22
200,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.33,46
201,2020-06,Jun 2020,Rio Grande do Sul,Outras,19
202,2020-06,Jun 2020,Rio de Janeiro,B.1.1,2
203,2020-06,Jun 2020,Rio de Janeiro,B.1.1.28,3
204,2020-06,Jun 2020,Rio de Janeiro,B.1.1.33,36
205,2020-06,Jun 2020,Rondônia,B.1.1.33,1
206,2020-06,Jun 2020,Roraima,B.1.1.33,2
207,2020-06,Jun 2020,Santa Catarina,B.1.1.28,1
208,2020-06,Jun 2020,Santa Catarina,B.1.1.33,1
209,2020-06,Jun 2020,São Paulo,B.1.1,1
210,2020-06,Jun 2020,São Paulo,B.1.1.28,47
211,2020-06,Jun 2020,São Paulo,B.1.1.33,20
212,2020-06,Jun 2020,São Paulo,Outras,5
213,2020-07,Jul 2020,Amazonas,B.1.1,1
214,2020-07,Jul 2020,Amazonas,B.1.1.28,6
215,2020-07,Jul 2020,Amazonas,B.1.1.33,5
216,2020-07,Jul 2020,Amazonas,Outras,4
217,2020-07,Jul 2020,Bahia,B.1.1,2
218,2020-07,Jul 2020,Bahia,B.1.1.28,10
219,2020-07,Jul 2020,Bahia,B.1.1.33,5
220,2020-07,Jul 2020,Goiás,B.1.1.28,1
221,2020-07,Jul 2020,Goiás,B.1.1.33,4
222,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.28,4
223,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.33,3
224,2020-07,Jul 2020,Mato Grosso do Sul,Outras,3
225,2020-07,Jul 2020,Minas Gerais,B.1.1.33,1
226,2020-07,Jul 2020,Paraná,B.1.1,5
227,2020-07,Jul 2020,Paraná,B.1.1.28,22
228,2020-07,Jul 2020,Paraná,B.1.1.33,22
229,2020-07,Jul 2020,Paraíba,B.1.1,1
230,2020-07,Jul 2020,Paraíba,B.1.1.33,1
231,2020-07,Jul 2020,Pará,B.1.1.28,3
232,2020-07,Jul 2020,Pará,B.1.1.33,3
233,2020-07,Jul 2020,Pará,Outras,1
234,2020-07,Jul 2020,Pernambuco,B.1.1,26
235,2020-07,Jul 2020,Pernambuco,B.1.1.28,6
236,2020-07,Jul 2020,Pernambuco,B.1.1.33,8
237,2020-07,Jul 2020,Pernambuco,Outras,2
238,2020-07,Jul 2020,Rio Grande do Norte,B.1.1,6
239,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.28,3
240,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.33,1
241,2020-07,Jul 2020,Rio Grande do Norte,Outras,1
242,2020-07,Jul 2020,Rio Grande do Sul,B.1.1,5
243,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.28,19
244,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.33,44
245,2020-07,Jul 2020,Rio Grande do Sul,Outras,16
246,2020-07,Jul 2020,Rio de Janeiro,B.1.1,5
247,2020-07,Jul 2020,Rio de Janeiro,B.1.1.28,4
248,2020-07,Jul 2020,Rio de Janeiro,B.1.1.33,69
249,2020-07,Jul 2020,Rio de Janeiro,Outras,3
250,2020-07,Jul 2020,Santa Catarina,B.1.1.28,1
251,2020-07,Jul 2020,Santa Catarina,B.1.1.33,1
252,2020-07,Jul 2020,Sergipe,B.1.1,1
253,2020-07,Jul 2020,Sergipe,Outras,1
254,2020-07,Jul 2020,São Paulo,B.1.1,5
255,2020-07,Jul 2020,São Paulo,B.1.1.28,55
256,2020-07,Jul 2020,São Paulo,B.1.1.33,12
257,2020-07,Jul 2020,São Paulo,Outras,5
258,2020-08,Ago 2020,Acre,B.1.1,2
259,2020-08,Ago 2020,Acre,B.1.1.33,12
260,2020-08,Ago 2020,Amazonas,B.1.1.28,4
261,2020-08,Ago 2020,Amazonas,Outras,2
262,2020-08,Ago 2020,Bahia,B.1.1,2
263,2020-08,Ago 2020,Bahia,B.1.1.28,5
264,2020-08,Ago 2020,Bahia,B.1.1.33,6
265,2020-08,Ago 2020,Bahia,Outras,1
266,2020-08,Ago 2020,Ceará,B.1.1.33,1
267,2020-08,Ago 2020,Goiás,B.1.1,1
268,2020-08,Ago 2020,Goiás,B.1.1.28,2
269,2020-08,Ago 2020,Goiás,B.1.1.33,10
270,2020-08,Ago 2020,Mato Grosso,B.1.1.33,2
271,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.28,2
272,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.33,5
273,2020-08,Ago 2020,Minas Gerais,B.1.1.28,1
274,2020-08,Ago 2020,Minas Gerais,B.1.1.33,3
275,2020-08,Ago 2020,Paraná,B.1.1,2
276,2020-08,Ago 2020,Paraná,B.1.1.28,10
277,2020-08,Ago 2020,Paraná,B.1.1.33,7
278,2020-08,Ago 2020,Paraná,Outras,2
279,2020-08,Ago 2020,Paraíba,B.1.1,5
280,2020-08,Ago 2020,Paraíba,B.1.1.28,1
281,2020-08,Ago 2020,Paraíba,B.1.1.33,2
282,2020-08,Ago 2020,Pernambuco,B.1.1,22
283,2020-08,Ago 2020,Pernambuco,B.1.1.28,15
284,2020-08,Ago 2020,Pernambuco,B.1.1.33,5
285,2020-08,Ago 2020,Pernambuco,Outras,8
286,2020-08,Ago 2020,Rio Grande do Norte,B.1.1,4
287,2020-08,Ago 2020,Rio Grande do Norte,B.1.1.28,2
288,2020-08,Ago 2020,Rio Grande do Norte,Outras,1
289,2020-08,Ago 2020,Rio Grande do Sul,B.1.1,6
290,2020-08,Ago 2020,Rio Grande do Sul,B.1.1.28,41
291,2020-08,Ago 2020,Rio Grande do Sul,B.1.1.33,61
292,2020-08,Ago 2020,Rio Grande do Sul,Outras,15
293,2020-08,Ago 2020,Rio de Janeiro,B.1.1,4
294,2020-08,Ago 2020,Rio de Janeiro,B.1.1.28,14
295,2020-08,Ago 2020,Rio de Janeiro,B.1.1.33,32
296,2020-08,Ago 2020,Rio de Janeiro,Outras,3
297,2020-08,Ago 2020,Santa Catarina,B.1.1.28,1
298,2020-08,Ago 2020,Santa Catarina,B.1.1.33,1
299,2020-08,Ago 2020,Sergipe,B.1.1.28,3
300,2020-08,Ago 2020,São Paulo,B.1.1,2
301,2020-08,Ago 2020,São Paulo,B.1.1.28,29
302,2020-08,Ago 2020,São Paulo,B.1.1.33,8
303,2020-08,Ago 2020,São Paulo,Outras,1
304,2020-09,Set 2020,Amazonas,B.1.1,2
305,2020-09,Set 2020,Amazonas,B.1.1.28,9
306,2020-09,Set 2020,Amazonas,B.1.1.33,7
307,2020-09,Set 2020,Amazonas,Outras,4
308,2020-09,Set 2020,Bahia,B.1.1,3
309,2020-09,Set 2020,Bahia,B.1.1.28,8
310,2020-09,Set 2020,Bahia,B.1.1.33,12
311,2020-09,Set 2020,Bahia,Outras,2
312,2020-09,Set 2020,Ceará,B.1.1.33,1
313,2020-09,Set 2020,Distrito Federal,B.1.1,1
314,2020-09,Set 2020,Distrito Federal,B.1.1.28,2
315,2020-09,Set 2020,Distrito Federal,B.1.1.33,1
316,2020-09,Set 2020,Distrito Federal,Outras,1
317,2020-09,Set 2020,Distrito Federal,P.2,1
318,2020-09,Set 2020,Espírito Santo,B.1.1.33,14
319,2020-09,Set 2020,Goiás,B.1.1,1
320,2020-09,Set 2020,Goiás,B.1.1.28,1
321,2020-09,Set 2020,Goiás,B.1.1.33,4
322,2020-09,Set 2020,Mato Grosso do Sul,B.1.1.28,2
323,2020-09,Set 2020,Mato Grosso do Sul,B.1.1.33,6
324,2020-09,Set 2020,Minas Gerais,B.1.1.28,4
325,2020-09,Set 2020,Minas Gerais,B.1.1.33,3
326,2020-09,Set 2020,Paraná,B.1.1,1
327,2020-09,Set 2020,Paraná,B.1.1.28,3
328,2020-09,Set 2020,Paraná,B.1.1.33,5
329,2020-09,Set 2020,Paraná,P.2,1
330,2020-09,Set 2020,Paraíba,B.1.1,9
331,2020-09,Set 2020,Paraíba,B.1.1.33,2
332,2020-09,Set 2020,Pernambuco,B.1.1,28
333,2020-09,Set 2020,Pernambuco,B.1.1.28,20
334,2020-09,Set 2020,Pernambuco,B.1.1.33,8
335,2020-09,Set 2020,Pernambuco,Outras,9
336,2020-09,Set 2020,Rio Grande do Norte,B.1.1,4
337,2020-09,Set 2020,Rio Grande do Norte,B.1.1.33,4
338,2020-09,Set 2020,Rio Grande do Norte,Outras,2
339,2020-09,Set 2020,Rio Grande do Sul,B.1.1,3
340,2020-09,Set 2020,Rio Grande do Sul,B.1.1.28,22
341,2020-09,Set 2020,Rio Grande do Sul,B.1.1.33,34
342,2020-09,Set 2020,Rio Grande do Sul,Outras,6
343,2020-09,Set 2020,Rio Grande do Sul,P.1 (Gama),1
344,2020-09,Set 2020,Rio de Janeiro,B.1.1,2
345,2020-09,Set 2020,Rio de Janeiro,B.1.1.28,10
346,2020-09,Set 2020,Rio de Janeiro,B.1.1.33,40
347,2020-09,Set 2020,Rio de Janeiro,Outras,3
348,2020-09,Set 2020,Santa Catarina,B.1.1.28,3
349,2020-09,Set 2020,Santa Catarina,B.1.1.33,1
350,2020-09,Set 2020,São Paulo,B.1.1.28,14
351,2020-09,Set 2020,São Paulo,B.1.1.33,2
352,2020-09,Set 2020,São Paulo,Outras,4
353,2020-09,Set 2020,São Paulo,P.2,1
354,2020-09,Set 2020,Tocantins,B.1.1,1
355,2020-09,Set 2020,Tocantins,B.1.1.28,4
356,2020-10,Out 2020,Amazonas,B.1.1,2
357,2020-10,Out 2020,Amazonas,B.1.1.28,8
358,2020-10,Out 2020,Amazonas,B.1.1.33,2
359,2020-10,Out 2020,Amazonas,Outras,4
360,2020-10,Out 2020,Bahia,B.1.1,1
361,2020-10,Out 2020,Bahia,B.1.1.28,3
362,2020-10,Out 2020,Bahia,B.1.1.33,5
363,2020-10,Out 2020,Bahia,P.2,1
364,2020-10,Out 2020,Distrito Federal,B.1.1.28,3
365,2020-10,Out 2020,Distrito Federal,P.2,4
366,2020-10,Out 2020,Espírito Santo,B.1.1.28,5
367,2020-10,Out 2020,Espírito Santo,B.1.1.33,7
368,2020-10,Out 2020,Espírito Santo,Outras,1
369,2020-10,Out 2020,Espírito Santo,P.2,2
370,2020-10,Out 2020,Goiás,B.1.1.28,2
371,2020-10,Out 2020,Goiás,P.2,1
372,2020-10,Out 2020,Mato Grosso do Sul,B.1.1.28,7
373,2020-10,Out 2020,Mato Grosso do Sul,B.1.1.33,2
374,2020-10,Out 2020,Minas Gerais,B.1.1,1
375,2020-10,Out 2020,Minas Gerais,B.1.1.28,6
376,2020-10,Out 2020,Minas Gerais,B.1.1.33,6
377,2020-10,Out 2020,Minas Gerais,P.2,1
378,2020-10,Out 2020,Paraná,B.1.1.28,16
379,2020-10,Out 2020,Paraná,B.1.1.33,7
380,2020-10,Out 2020,Paraná,Outras,1
381,2020-10,Out 2020,Paraná,P.2,8
382,2020-10,Out 2020,Paraíba,B.1.1,6
383,2020-10,Out 2020,Paraíba,P.2,1
384,2020-10,Out 2020,Pará,B.1.1,1
385,2020-10,Out 2020,Pará,P.2,6
386,2020-10,Out 2020,Pernambuco,B.1.1,14
387,2020-10,Out 2020,Pernambuco,B.1.1.28,19
388,2020-10,Out 2020,Pernambuco,B.1.1.33,22
389,2020-10,Out 2020,Pernambuco,Outras,4
390,2020-10,Out 2020,Pernambuco,P.2,10
391,2020-10,Out 2020,Piauí,B.1.1.28,2
392,2020-10,Out 2020,Piauí,Outras,2
393,2020-10,Out 2020,Rio Grande do Norte,B.1.1,2
394,2020-10,Out 2020,Rio Grande do Norte,B.1.1.28,3
395,2020-10,Out 2020,Rio Grande do Norte,B.1.1.33,3
396,2020-10,Out 2020,Rio Grande do Norte,Outras,1
397,2020-10,Out 2020,Rio Grande do Sul,B.1.1,4
398,2020-10,Out 2020,Rio Grande do Sul,B.1.1.28,32
399,2020-10,Out 2020,Rio Grande do Sul,B.1.1.33,24
400,2020-10,Out 2020,Rio Grande do Sul,Outras,5
401,2020-10,Out 2020,Rio Grande do Sul,P.2,10
402,2020-10,Out 2020,Rio de Janeiro,B.1.1,1
403,2020-10,Out 2020,Rio de Janeiro,B.1.1.28,13
404,2020-10,Out 2020,Rio de Janeiro,B.1.1.33,42
405,2020-10,Out 2020,Rio de Janeiro,Outras,3
406,2020-10,Out 2020,Rio de Janeiro,P.2,23
407,2020-10,Out 2020,Santa Catarina,B.1.1.33,1
408,2020-10,Out 2020,São Paulo,B.1.1,1
409,2020-10,Out 2020,São Paulo,B.1.1.28,23
410,2020-10,Out 2020,São Paulo,B.1.1.33,6
411,2020-10,Out 2020,São Paulo,Outras,3
412,2020-10,Out 2020,São Paulo,P.2,5
413,2020-10,Out 2020,Tocantins,B.1.1.28,6
414,2020-10,Out 2020,Tocantins,B.1.1.33,2
415,2020-10,Out 2020,Tocantins,P.2,1
416,2020-11,Nov 2020,Alagoas,B.1.1.28,1
