,Date,Período,Região,Estado,Linhagens relevantes,Quantidade
323,2020-09,Set 2020,Norte,Amazonas,B.1.1,1
324,2020-09,Set 2020,Norte,Amazonas,B.1.1.28,9
325,2020-09,Set 2020,Norte,Amazonas,B.1.1.33,8
326,2020-09,Set 2020,Norte,Amazonas,Outras,4
327,2020-09,Set 2020,Norte,Tocantins,B.1.1,1
328,2020-09,Set 2020,Norte,Tocantins,B.1.1.28,4
329,2020-09,Set 2020,Sudeste,Espírito Santo,B.1.1.33,14
330,2020-09,Set 2020,Sudeste,Minas Gerais,B.1.1.28,4
331,2020-09,Set 2020,Sudeste,Minas Gerais,B.1.1.33,3
332,2020-09,Set 2020,Sudeste,Rio de Janeiro,B.1.1,2
333,2020-09,Set 2020,Sudeste,Rio de Janeiro,B.1.1.28,10
334,2020-09,Set 2020,Sudeste,Rio de Janeiro,B.1.1.33,40
335,2020-09,Set 2020,Sudeste,Rio de Janeiro,Outras,3
336,2020-09,Set 2020,Sudeste,São Paulo,B.1.1.28,13
337,2020-09,Set 2020,Sudeste,São Paulo,B.1.1.33,2
338,2020-09,Set 2020,Sudeste,São Paulo,Outras,1
339,2020-09,Set 2020,Sudeste,São Paulo,P.2,1
340,2020-09,Set 2020,Sul,Paraná,B.1.1,1
341,2020-09,Set 2020,Sul,Paraná,B.1.1.28,3
342,2020-09,Set 2020,Sul,Paraná,B.1.1.33,5
343,2020-09,Set 2020,Sul,Paraná,P.2,1
344,2020-09,Set 2020,Sul,Rio Grande do Sul,B.1.1,2
345,2020-09,Set 2020,Sul,Rio Grande do Sul,B.1.1.28,21
346,2020-09,Set 2020,Sul,Rio Grande do Sul,B.1.1.33,34
347,2020-09,Set 2020,Sul,Rio Grande do Sul,Outras,7
348,2020-09,Set 2020,Sul,Rio Grande do Sul,P.1+P.1.* (Gama),1
349,2020-09,Set 2020,Sul,Santa Catarina,B.1.1.28,3
350,2020-09,Set 2020,Sul,Santa Catarina,B.1.1.33,1
351,2020-10,Out 2020,Centro-oeste,Distrito Federal,B.1.1.28,3
352,2020-10,Out 2020,Centro-oeste,Distrito Federal,P.2,4
353,2020-10,Out 2020,Centro-oeste,Goiás,B.1.1.28,2
354,2020-10,Out 2020,Centro-oeste,Goiás,B.1.1.33,2
355,2020-10,Out 2020,Centro-oeste,Goiás,P.2,1
356,2020-10,Out 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,7
357,2020-10,Out 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,2
358,2020-10,Out 2020,Nordeste,Bahia,B.1.1,1
359,2020-10,Out 2020,Nordeste,Bahia,B.1.1.28,3
360,2020-10,Out 2020,Nordeste,Bahia,B.1.1.33,5
361,2020-10,Out 2020,Nordeste,Bahia,P.2,1
362,2020-10,Out 2020,Nordeste,Paraíba,B.1.1,6
363,2020-10,Out 2020,Nordeste,Paraíba,P.2,1
364,2020-10,Out 2020,Nordeste,Pernambuco,B.1.1,16
365,2020-10,Out 2020,Nordeste,Pernambuco,B.1.1.28,29
366,2020-10,Out 2020,Nordeste,Pernambuco,B.1.1.33,29
367,2020-10,Out 2020,Nordeste,Pernambuco,Outras,5
368,2020-10,Out 2020,Nordeste,Pernambuco,P.2,10
369,2020-10,Out 2020,Nordeste,Piauí,B.1.1.28,2
370,2020-10,Out 2020,Nordeste,Piauí,Outras,2
371,2020-10,Out 2020,Nordeste,Rio Grande do Norte,B.1.1,2
372,2020-10,Out 2020,Nordeste,Rio Grande do Norte,B.1.1.28,3
373,2020-10,Out 2020,Nordeste,Rio Grande do Norte,B.1.1.33,3
374,2020-10,Out 2020,Nordeste,Rio Grande do Norte,Outras,1
375,2020-10,Out 2020,Norte,Amazonas,B.1.1,1
376,2020-10,Out 2020,Norte,Amazonas,B.1.1.28,8
377,2020-10,Out 2020,Norte,Amazonas,B.1.1.33,3
378,2020-10,Out 2020,Norte,Amazonas,Outras,4
379,2020-10,Out 2020,Norte,Pará,B.1.1,1
380,2020-10,Out 2020,Norte,Pará,P.2,6
